,Symbol,Name, ,Price,Change,% Change,Market Cap,Volume ,Volume in currency( 24 hr),Volume in all currencies(in 24 hr),Circulating Supply,52 Weeks Change%, 
0,PORT11220-USD,Port Finance USD,,"0.004388+0.004231(+2,694.87%)",+0.004231,"+2,694.87%",0,"82,729","82,729","82,729",0,-97.89%,
1,CATX31291-USD,CATX USD,,"0.00000636+0.00000608(+2,168.12%)",+0.00000608,"+2,168.12%",0,"122,282","122,282","122,282",0,+600.00%,
2,SNL35953-USD,Snow Leopard USD,,"0.00000032+0.00000029(+1,055.80%)",+0.00000029,"+1,055.80%",0,"131,669","131,669","131,669",0,--,
3,MAGA33521-USD,PEPE MAGA USD,,0.002745+0.002387(+666.49%),+0.002387,+666.49%,0,"930,745","930,745","930,745",0,"+19,050.00%",
4,NEIRO33184-USD,Neiro Pump USD,,0.001007+0.000856(+567.29%),+0.000856,+567.29%,0,"499,873","499,873","499,873",0,"+9,900.00%",
5,DARAM-USD,DARAM AI USD,,0.00000009+0.00000007(+477.74%),+0.00000007,+477.74%,0,"579,884","579,884","579,884",0,--,
6,LOVELY-USD,Lovely Finance [Old] USD,,0.00000433+0.00000360(+488.84%),+0.00000360,+488.84%,0,"44,497","44,497","44,497",0,-100.00%,
7,TURBO36554-USD,TURBO BOME USD,,0.00000789+0.00000651(+469.60%),+0.00000651,+469.60%,0,"514,969","514,969","514,969",0,+23.53%,
8,BOME33774-USD,BOME AI USD,,0.00000021+0.00000016(+355.43%),+0.00000016,+355.43%,0,"694,896","694,896","694,896",0,--,
9,TRUMP33561-USD,trumpwifhat USD,,0.016647+0.013494(+428.05%),+0.013494,+428.05%,0,"602,549","602,549","602,549",0,"+21,162.50%",
10,TURBO33724-USD,Turbo Trump USD,,0.000851+0.000717(+533.18%),+0.000717,+533.18%,0,4.564M,4.564M,4.564M,0,"+17,600.00%",
11,MSTR34245-USD,MSTR USD,,0.850634+0.687558(+421.62%),+0.687558,+421.62%,0,11.108M,11.108M,11.108M,0,"+15,911.19%",
12,GROK33471-USD,SORA GROK USD,,0.015001+0.012085(+414.41%),+0.012085,+414.41%,0,5.037M,5.037M,5.037M,0,"+1,420,344.34%",
13,MAGA32751-USD,TRUMP MAGA (trumpmaga.me) USD,,0.014314+0.011449(+399.54%),+0.011449,+399.54%,0,"819,565","819,565","819,565",0,"+11,785.71%",
14,SQUID34407-USD,Squid Game (squidgame.top) USD,,0.000230+0.000182(+385.23%),+0.000182,+385.23%,0,"710,171","710,171","710,171",0,+600.00%,
15,CAT32486-USD,NOT USD,,0.000028+0.000020(+272.69%),+0.000020,+272.69%,0,2.686M,2.686M,2.686M,0,"+2,172.22%",
16,STOCK37174-USD,Coin Stock USD,,20.25+13.54(+201.61%),+13.54,+201.61%,0,8.132M,8.132M,8.132M,0,-93.53%,
17,GUD-USD,Gud Tech USD,,0.000993+0.000748(+304.85%),+0.000748,+304.85%,0,"64,450","64,450","64,450",0,-98.94%,
18,TSLA37391-USD,Tesla USD,,65.79+50.16(+320.79%),+50.16,+320.79%,0,2.595M,2.595M,2.595M,0,-82.78%,
19,HOOD37295-USD,Robinhood USD,,0.050586+0.040128(+383.70%),+0.040128,+383.70%,0,3.484M,3.484M,3.484M,0,"+1,213.63%",
20,BITCOIN33683-USD,HarryPotterObamaSonic10Inu 2.0 USD,,0.073898+0.052804(+250.34%),+0.052804,+250.34%,0,"132,949","132,949","132,949",0,"+609,200.00%",
21,BROCCOLI35787-USD,Broccoli(broccolicoin.me) USD,,0.001506+0.001107(+277.80%),+0.001107,+277.80%,0,2.891M,2.891M,2.891M,0,-85.73%,
22,PEOPLE32079-USD,MAGA USD,,0.000308+0.000222(+257.94%),+0.000222,+257.94%,0,1.671M,1.671M,1.671M,0,+290.91%,
23,GME32488-USD,GameStop Coin USD,,0.000214+0.000156(+267.15%),+0.000156,+267.15%,0,2.566M,2.566M,2.566M,0,+866.67%,
24,DOGS32713-USD,HARRIS DOGS USD,,0.000060+0.000043(+254.69%),+0.000043,+254.69%,0,2.527M,2.527M,2.527M,0,--,
