,Symbol,Name,Last Price,Change,% Change,50 Days Average,200 Days Average ,3 Months Average,YTD return,52 Weeks Change%,
0,PFSLX,Paradigm Select Fund,77.91+1.55(+2.03%),+1.55,+2.03%,73.95,76.96,+8.60%,-5.89%,-0.66%,
1,PVFAX,Paradigm Value,54.97+1.02(+1.89%),+1.02,+1.89%,51.61,55.20,+8.25%,-4.94%,-11.82%,
2,UMPIX,ProFunds UltraMid Cap Fund,67.11+1.19(+1.81%),+1.19,+1.81%,62.12,64.82,+9.11%,-6.16%,-0.46%,
3,UMPSX,ProFunds UltraMid Cap Fund,51.51+0.91(+1.80%),+0.91,+1.80%,47.73,49.84,+8.85%,-6.66%,-0.73%,
4,FTHFX,FullerThaler Behavioral Sm-Cp Eq R6,47.67+0.81(+1.73%),+0.81,+1.73%,45.26,46.05,+7.29%,-0.22%,-0.54%,
5,FTHSX,FullerThaler Behavioral Sm-Cp Eq Inst,47.18+0.80(+1.72%),+0.80,+1.72%,44.80,45.59,+7.24%,-0.27%,-0.63%,
6,FTHAX,FullerThaler Behavioral Sm-Cp Eq A,46.61+0.79(+1.72%),+0.79,+1.72%,44.27,45.08,+7.16%,-0.43%,-0.79%,
7,FTHNX,FullerThaler Behavioral Sm-Cp Eq Inv,46.74+0.79(+1.72%),+0.79,+1.72%,44.39,45.19,+7.19%,-0.40%,-0.72%,
8,FTYCX,FullerThaler Behavioral Sm-Cp Eq C,45.67+0.77(+1.71%),+0.77,+1.71%,43.40,44.23,+7.02%,-0.71%,-1.02%,
9,BPTIX,Baron Partners Institutional,210.73+3.41(+1.64%),+3.41,+1.64%,205.45,197.41,+12.15%,-7.34%,+29.97%,
10,BPTRX,Baron Partners Retail,201.52+3.26(+1.64%),+3.26,+1.64%,196.52,188.99,+12.08%,-7.45%,+29.60%,
11,FSHOX,Fidelity Select Construction & Housing,125.81+1.96(+1.58%),+1.96,+1.58%,118.37,121.00,+6.67%,+0.27%,+3.97%,
12,SPYGX,Spyglass Growth Institutional,21.92+0.32(+1.48%),+0.32,+1.48%,20.11,19.36,+21.05%,+2.54%,+51.28%,
13,FCLIX,Fidelity Advisor Industrials I,61.53+0.88(+1.45%),+0.88,+1.45%,56.95,52.92,+20.16%,+16.73%,+25.85%,
14,FCLAX,Fidelity Advisor Industrials A,56.12+0.80(+1.45%),+0.80,+1.45%,51.95,48.32,+20.09%,+16.60%,+25.49%,
15,CYPSX,ProFunds Consumer Disctnry Ultra Sec Svc,57.17+0.81(+1.44%),+0.81,+1.44%,54.34,54.17,+12.94%,-7.93%,+25.18%,
16,PVIVX,Paradigm Micro-Cap,49.42+0.70(+1.44%),+0.70,+1.44%,47.79,52.13,+4.82%,-10.59%,-15.03%,
17,FCLTX,Fidelity Advisor Industrials M,53.66+0.76(+1.44%),+0.76,+1.44%,49.69,46.24,+20.02%,+16.43%,+25.29%,
18,FIKEX,Fidelity Advisor Industrials Z,61.52+0.87(+1.43%),+0.87,+1.43%,56.93,52.91,+20.19%,+16.80%,+25.81%,
19,FCYIX,Fidelity Select Industrials Portfolio,49.81+0.70(+1.43%),+0.70,+1.43%,46.10,43.02,+20.05%,+16.61%,+24.99%,
20,OEGYX,Invesco Discovery Mid Cap Growth Y,34.70+0.47(+1.37%),+0.47,+1.37%,33.65,33.26,+18.71%,+4.06%,+11.65%,
21,DMCFX,Invesco Discovery Mid Cap Growth Fund,29.55+0.40(+1.37%),+0.40,+1.37%,28.65,28.36,+18.73%,+4.07%,+11.01%,
22,OEGIX,Invesco Discovery Mid Cap Growth R6,35.72+0.48(+1.36%),+0.48,+1.36%,34.64,34.21,+18.74%,+4.12%,+11.90%,
23,RYMDX,Rydex Mid-Cap 1.5x Strategy H,135.21+1.81(+1.36%),+1.81,+1.36%,127.43,129.76,+8.08%,-2.87%,+2.81%,
24,RYAHX,Rydex Mid-Cap 1.5x Strategy A,134.59+1.80(+1.36%),+1.80,+1.36%,126.85,129.16,+8.08%,-2.87%,+2.82%,
